"phylum","class","order","family","genus","species","id","resource_id","latitude","longitude","datecollected","year"
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996658,2546,24.9,58.8833,"1969-07-26 17:04:48+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996657,2546,24.9,58.8833,"1969-07-26 17:04:48+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29997532,2546,24.2667,61.15,"1969-03-05 18:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996932,2546,25.5167,57.1,"1969-07-24 10:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996939,2546,25.5167,57.1,"1969-07-24 10:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29997530,2546,24.2667,61.15,"1969-03-05 18:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29997527,2546,24.2667,61.15,"1969-03-05 18:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996578,2546,24.7333,61.4833,"1969-07-27 15:00:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996577,2546,24.7333,61.4833,"1969-07-27 15:00:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996553,2546,24.7333,61.4833,"1969-07-27 15:00:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996552,2546,24.7333,61.4833,"1969-07-27 15:00:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996551,2546,24.7333,61.4833,"1969-07-27 15:00:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29995039,2546,26.2833,54.05,"1970-01-29 15:30:00+01",1970
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29997526,2546,24.2667,61.15,"1969-03-05 18:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29995038,2546,26.2833,54.05,"1970-01-29 15:30:00+01",1970
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29995037,2546,26.2833,54.05,"1970-01-29 15:30:00+01",1970
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29995035,2546,26.2833,54.05,"1970-01-29 15:30:00+01",1970
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29994165,2546,24.8,61.5333,"1969-01-30 07:55:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996933,2546,25.5167,57.1,"1969-07-24 10:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29993724,2546,24.5833,61.5833,"1968-09-08 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29999408,2546,24.8,61.5333,"1969-01-30 07:55:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29993679,2546,24.8,61.5333,"1969-01-30 07:55:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29997331,2546,24.9,58.8833,"1969-07-26 17:04:48+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996963,2546,25.65,57.2333,"1969-07-24 07:49:48+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996934,2546,25.5167,57.1,"1969-07-24 10:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996964,2546,25.65,57.2333,"1969-07-24 07:49:48+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996935,2546,25.5167,57.1,"1969-07-24 10:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29999152,2546,24.5833,61.5833,"1968-09-08 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29998447,2546,24.7333,61.4833,"1969-07-27 15:00:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29998434,2546,24.7333,61.4833,"1969-07-27 15:00:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996937,2546,25.5167,57.1,"1969-07-24 10:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","",29996931,2546,25.5167,57.1,"1969-07-24 10:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29988995,2546,26.3833,55.7,"1968-09-03 22:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29988942,2546,26.2833,54.9667,"1968-09-03 17:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29988751,2546,27.8,51.1833,"1968-08-31 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",25087035,2546,26.5333,52.6333,"1968-07-08 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993052,2546,26.4667,56.05,"1968-09-04 00:34:58.8+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993570,2546,26.7833,56.7333,"1968-07-10 21:04:48+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993569,2546,26.7833,56.7333,"1968-07-10 21:04:48+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993568,2546,26.7833,56.7333,"1968-07-10 21:04:48+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993063,2546,26.3833,55.7,"1968-09-03 22:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991219,2546,24.7333,61.4833,"1969-06-26 15:30:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991218,2546,24.7333,61.4833,"1969-06-26 15:30:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991213,2546,24.2833,61.15,"1969-06-26 20:30:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991212,2546,24.2833,61.15,"1969-06-26 20:30:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991211,2546,24.2833,61.15,"1969-06-26 20:30:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29989262,2546,25.6667,57.1667,"1968-07-11 07:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991210,2546,24.2833,61.15,"1969-06-26 20:30:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991209,2546,24.2833,61.15,"1969-06-26 20:30:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991199,2546,23.7667,60.7333,"1969-06-27 01:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991198,2546,23.7667,60.7333,"1969-06-27 01:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992770,2546,26.3,54.9333,"1968-07-10 07:40:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29989251,2546,25.6667,57.1667,"1968-07-11 07:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29989221,2546,28.5667,50.0167,"1968-08-30 03:40:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29989079,2546,26.3833,55.7,"1968-09-03 22:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991197,2546,23.7667,60.7333,"1969-06-27 01:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991196,2546,23.7667,60.7333,"1969-06-27 01:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992760,2546,26.4667,56.05,"1968-07-10 14:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992759,2546,26.4667,56.05,"1968-07-10 14:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992758,2546,26.4667,56.05,"1968-07-10 14:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992737,2546,25.6667,57.1667,"1968-07-11 07:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992736,2546,25.6667,57.1667,"1968-07-11 07:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992735,2546,25.6667,57.1667,"1968-07-11 07:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992710,2546,24.5833,61.5833,"1968-09-08 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992649,2546,26.7833,56.7333,"1968-09-04 08:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992622,2546,26.7833,56.7333,"1968-09-04 08:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993051,2546,26.4667,56.05,"1968-09-04 00:34:58.8+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992608,2546,26.7833,56.7333,"1968-09-04 08:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992562,2546,26.0667,55.1667,"1968-07-10 04:30:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992556,2546,26.0667,55.1667,"1968-07-10 04:30:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992553,2546,26.7833,56.7333,"1968-09-04 08:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992552,2546,26.0667,55.1667,"1968-07-10 04:30:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992546,2546,26.0667,55.1667,"1968-07-10 04:30:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992527,2546,26.0667,55.1667,"1968-07-10 04:30:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992497,2546,29.35,49.2333,"1968-08-29 10:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992468,2546,26.7833,56.7333,"1968-07-10 21:04:48+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992447,2546,26.7833,56.7333,"1968-07-10 21:04:48+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992425,2546,26.4667,56.05,"1968-07-10 14:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992420,2546,26.4667,56.05,"1968-07-10 14:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992287,2546,25.1667,58.9667,"1968-09-06 02:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993012,2546,26.7833,56.7333,"1968-09-04 08:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992102,2546,27.6167,50.8,"1968-08-31 09:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992058,2546,25.1667,58.9667,"1968-09-06 02:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992053,2546,26.2833,54.9667,"1968-09-03 17:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991973,2546,27.35,51.6167,"1970-01-21 22:00:00+01",1970
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991972,2546,27.35,51.6167,"1970-01-21 22:00:00+01",1970
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991055,2546,29.6667,50.0667,"1968-08-29 16:04:48+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29990925,2546,27.8,51.1833,"1968-08-31 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29990726,2546,23.7667,60.7333,"1969-06-27 01:10:12+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29990183,2546,26.4667,56.05,"1968-09-04 00:34:58.8+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29990182,2546,24.6333,61.55,"1969-08-26 08:49:48+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29990181,2546,24.6333,61.55,"1969-08-26 08:49:48+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29990180,2546,24.6333,61.55,"1969-08-26 08:49:48+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29990179,2546,24.6333,61.55,"1969-08-26 08:49:48+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29990178,2546,24.6333,61.55,"1969-08-26 08:49:48+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29990061,2546,26.3,54.9333,"1968-07-10 07:40:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29990057,2546,26.3167,56.8167,"1968-09-04 16:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29989985,2546,26.3167,56.8167,"1968-09-04 16:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29989799,2546,26.3167,56.8167,"1968-09-04 16:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991971,2546,27.35,51.6167,"1970-01-21 22:00:00+01",1970
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991830,2546,28.5667,50.0167,"1968-08-30 03:40:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991823,2546,26.3,54.9333,"1968-07-10 07:40:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991815,2546,26.5333,52.6333,"1968-07-08 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29989007,2546,27.35,51.6167,"1970-01-21 22:00:00+01",1970
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29989006,2546,27.35,51.6167,"1970-01-21 22:00:00+01",1970
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993191,2546,27.6167,50.8,"1968-08-31 09:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993190,2546,27.6167,50.8,"1968-08-31 09:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993183,2546,27.6167,50.8,"1968-08-31 09:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993181,2546,27.6167,50.8,"1968-08-31 09:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993180,2546,27.6167,50.8,"1968-08-31 09:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991425,2546,26.5333,52.6333,"1968-07-08 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991221,2546,24.7333,61.4833,"1969-06-26 15:30:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29987632,2546,29.5333,49.6667,"1968-08-29 13:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993179,2546,26.2833,54.9667,"1968-09-03 17:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993177,2546,27.8,51.1833,"1968-08-31 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993176,2546,27.8,51.1833,"1968-08-31 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993175,2546,27.8,51.1833,"1968-08-31 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993154,2546,29.35,49.2333,"1968-08-29 10:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993150,2546,29.35,49.2333,"1968-08-29 10:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993146,2546,26.3167,56.8167,"1968-09-04 16:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993077,2546,25.1667,58.9667,"1968-09-06 02:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993074,2546,26.2833,54.9667,"1968-09-03 17:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29987714,2546,29.5333,49.6667,"1968-08-29 13:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993073,2546,26.2833,54.9667,"1968-09-03 17:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993067,2546,25.1667,58.9667,"1968-09-06 02:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993065,2546,26.3833,55.7,"1968-09-03 22:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29987791,2546,28.5667,50.0167,"1968-08-30 03:40:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29987806,2546,28.5667,50.0167,"1968-08-30 03:40:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993064,2546,26.3833,55.7,"1968-09-03 22:10:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991220,2546,24.7333,61.4833,"1969-06-26 15:30:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993566,2546,26.3,54.9333,"1968-07-10 07:40:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993546,2546,26.4667,56.05,"1968-09-04 00:34:58.8+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993532,2546,26.4667,56.05,"1968-09-04 00:34:58.8+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993521,2546,24.7333,61.4833,"1969-06-26 15:30:00+01",1969
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",25089542,2546,28.5667,50.0167,"1968-08-30 03:40:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993265,2546,29.35,49.2333,"1968-08-29 10:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993254,2546,29.5333,49.6667,"1968-08-29 13:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993252,2546,29.5333,49.6667,"1968-08-29 13:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29988556,2546,25.6833,57.0833,"1970-01-27 01:00:00+01",1970
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29988479,2546,24.5833,61.5833,"1968-09-08 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29988473,2546,24.5833,61.5833,"1968-09-08 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29988468,2546,25.6833,57.0833,"1970-01-27 01:00:00+01",1970
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29988467,2546,25.6833,57.0833,"1970-01-27 01:00:00+01",1970
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29988466,2546,25.6833,57.0833,"1970-01-27 01:00:00+01",1970
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29988465,2546,25.6833,57.0833,"1970-01-27 01:00:00+01",1970
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29988294,2546,27.6167,50.8,"1968-08-31 09:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29993251,2546,29.5333,49.6667,"1968-08-29 13:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29988233,2546,26.5333,52.6333,"1968-07-08 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29988007,2546,24.5833,61.5833,"1968-09-08 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29988006,2546,24.5833,61.5833,"1968-09-08 12:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29987811,2546,26.3167,56.8167,"1968-09-04 16:15:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992951,2546,26.3,54.9333,"1968-07-10 07:40:12+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991704,2546,27.6167,50.8,"1968-08-31 09:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991677,2546,29.6667,50.0667,"1968-08-29 16:04:48+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29992812,2546,25.1667,58.9667,"1968-09-06 02:00:00+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991636,2546,29.6667,50.0667,"1968-08-29 16:04:48+01",1968
"Arthropoda","","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",29991631,2546,29.6667,50.0667,"1968-08-29 16:04:48+01",1968
